run_serial,run_num,trial_num,real_trial,trial_type,stimulus,rep_ttype,stim_onset,category,response,rt,cor,resp_onset,win_flip_time,goal_duration,goal_onset,face_animal_side,squareside,cor_button,irrelevant
11.0,11.0,0.0,0.0,7.0,animal1/animal11_wild_OIP-upfXMlRA-NcKAlcwfabxhgHaH1.jpeg-object1/object10_nat_flower_0508.jpg-word0/word01_l_lake1_2.wav,0.0,0.29167699813842773,0.0,1.0,1.0334751605987549,1.0,1.3334941864013672,0.2999989986419678,4.0,0.0,1.0,1.0,1.0,wild-nat-l
11.0,11.0,1.0,0.0,4.0,animal0/animal01_wild_Rufous_Hummingbird_0022_2432568529.jpg-object1/object10_nat_eggshell_01b.jpg-word1/word10_d_dig5_2.wav,52.0,4.383888006210327,0.0,1.0,1.3856091499328613,1.0,5.784998178482056,4.399327039718628,4.0,4.0,0.0,1.0,1.0,wild-nat-d
11.0,11.0,2.0,0.0,1.0,animal0/animal00_dom_OIP-zKX1biRRtzxlF3AZbZLgpwHaFi.jpeg-object0/object01_man_cheese_13s.jpg-word0/word01_l_lake3.wav,25.0,8.45218014717102,1.0,0.0,0.9246799945831299,1.0,9.39043116569519,8.465673208236694,6.0,8.0,0.0,1.0,0.0,dom-man-l
11.0,11.0,3.0,0.0,7.0,animal1/animal10_dom_00000425_012.jpg-object1/object11_man_kettle_08s.jpg-word0/word00_d_door17_2.wav,7.0,14.53850507736206,0.0,0.0,0.9360759258270264,1.0,15.484389066696167,14.548235177993774,4.0,14.0,0.0,0.0,0.0,dom-man-d
11.0,11.0,4.0,0.0,9.0,stat/stat_1.png-stat/stat_1.png-300,-1.0,18.59241008758545,-1.0,1.0,0.5130109786987305,1.0,19.111090183258057,18.598021984100342,4.0,18.0,0.0,1.0,1.0,st-st-st
11.0,11.0,5.0,0.0,8.0,animal1/animal11_wild_OIP-AAXGt0Bu1xO-xFVG7Zae0wHaFL.jpeg-object1/object10_nat_weed_01b.jpg-word1/word11_l_lose13.wav,0.0,22.68285608291626,0.0,0.0,1.2698469161987305,1.0,23.96735405921936,22.697463989257812,4.0,22.0,1.0,0.0,0.0,wild-nat-l
11.0,11.0,6.0,1.0,6.0,animal1/animal10_dom_00000315_019.jpg-object0/object00_nat_cauliflower_03s.jpg-word1/word11_l_lose4.wav,62.0,26.771566152572632,1.0,1.0,0.790147066116333,1.0,27.570561170578003,26.78034019470215,4.0,26.0,0.0,0.0,1.0,dom-nat-l
11.0,11.0,7.0,1.0,9.0,stat/stat_1.png-stat/stat_1.png-300,-1.0,30.82306408882141,-1.0,1.0,0.47864198684692383,1.0,31.30859613418579,30.82990002632141,4.0,30.0,1.0,1.0,1.0,st-st-st
11.0,11.0,8.0,1.0,9.0,stat/stat_1.png-stat/stat_1.png-300,-1.0,34.87249398231506,-1.0,0.0,0.47190403938293457,1.0,35.35140800476074,34.87945818901062,4.0,34.0,1.0,1.0,0.0,st-st-st
11.0,11.0,9.0,1.0,3.0,animal0/animal01_wild_Green_tailed_Towhee_0011_117938965.jpg-object1/object10_nat_flower_1170.jpg-word0/word00_d_door6_2.wav,0.0,38.928038120269775,1.0,0.0,1.117182970046997,1.0,40.062906980514526,38.94566798210144,6.0,38.0,1.0,1.0,0.0,wild-nat-d
11.0,11.0,10.0,1.0,9.0,stat/stat_1.png-stat/stat_1.png-300,-1.0,44.991499185562134,-1.0,1.0,0.4553239345550537,1.0,45.46716809272766,45.01176309585571,4.0,44.0,1.0,1.0,1.0,st-st-st
11.0,11.0,11.0,1.0,9.0,stat/stat_1.png-stat/stat_1.png-300,-1.0,49.05963897705078,-1.0,0.0,0.4920990467071533,1.0,49.56994605064392,49.07780599594116,4.0,48.0,0.0,0.0,0.0,st-st-st
11.0,11.0,12.0,1.0,2.0,animal0/animal00_dom_138.jpeg-object0/object01_man_banana_split_10s.jpg-word1/word11_l_lose5_2.wav,0.0,53.51092004776001,1.0,0.0,0.9772260189056396,1.0,54.52159118652344,53.54431509971619,4.0,52.0,0.0,1.0,0.0,dom-man-l
11.0,11.0,13.0,1.0,2.0,animal0/animal00_dom_OIP-1MGbFP8cKQojqED14P2oEQAAAA.jpeg-object0/object00_nat_bean_08s.jpg-word1/word11_l_lose7.wav,10.0,57.60581612586975,1.0,1.0,1.2779619693756104,1.0,58.88835620880127,57.61034297943115,4.0,56.0,1.0,0.0,1.0,dom-nat-l
11.0,11.0,14.0,1.0,1.0,animal0/animal00_dom_OIP-NKbe8BOEnKnaNBglY4QjewHaFj.jpeg-object0/object01_man_meatball_08s.jpg-word0/word01_l_lake18.wav,9.0,61.895395040512085,1.0,1.0,0.7730329036712646,1.0,62.68297004699707,61.90988302230835,4.0,60.0,1.0,0.0,1.0,dom-man-l
11.0,11.0,15.0,1.0,9.0,stat/stat_1.png-stat/stat_1.png-300,-1.0,65.95297813415527,-1.0,1.0,0.49732494354248047,1.0,66.45665717124939,65.95927214622498,4.0,64.0,0.0,1.0,1.0,st-st-st
11.0,11.0,16.0,1.0,8.0,animal1/animal10_dom_00000058_010.jpg-object1/object10_nat_sunflower_02s.jpg-word1/word10_d_dig18.wav,0.0,70.03286504745483,0.0,0.0,0.8193068504333496,1.0,70.86157417297363,70.04219603538513,4.0,68.0,0.0,0.0,0.0,dom-nat-d
11.0,11.0,17.0,1.0,9.0,stat/stat_1.png-stat/stat_1.png-300,-1.0,74.08788418769836,-1.0,1.0,0.48412013053894043,1.0,74.59262013435364,74.10845518112183,4.0,72.0,1.0,1.0,1.0,st-st-st
11.0,11.0,18.0,1.0,5.0,animal1/animal11_wild_179bears.jpg-object0/object01_man_nacho_04s.jpg-word0/word01_l_lake15_2.wav,0.0,78.20114016532898,0.0,1.0,1.0516180992126465,1.0,79.25961899757385,78.20800018310547,4.0,76.0,0.0,1.0,1.0,wild-man-l
11.0,11.0,19.0,1.0,9.0,stat/stat_1.png-stat/stat_1.png-300,-1.0,82.25390100479126,-1.0,0.0,0.4205648899078369,1.0,82.69485116004944,82.27423810958862,4.0,80.0,1.0,1.0,0.0,st-st-st
11.0,11.0,20.0,1.0,4.0,animal0/animal01_wild_Prothonotary_Warbler_0008_2979157705.jpg-object1/object11_man_telescope_08n.jpg-word1/word10_d_dig7_2.wav,0.0,86.32761597633362,0.0,1.0,0.7883710861206055,1.0,87.12885117530823,86.34040713310242,4.0,84.0,1.0,1.0,1.0,wild-man-d
11.0,11.0,21.0,1.0,9.0,stat/stat_1.png-stat/stat_1.png-300,-1.0,90.38324904441833,-1.0,0.0,0.4484279155731201,1.0,90.83823204040527,90.38976097106934,4.0,88.0,1.0,0.0,0.0,st-st-st
11.0,11.0,22.0,1.0,8.0,animal1/animal11_wild_43bears.jpg-object1/object10_nat_flower_1004.jpg-word1/word10_d_dig2_2.wav,0.0,94.47958397865295,0.0,1.0,0.6478569507598877,1.0,95.13728404045105,94.48937511444092,4.0,92.0,0.0,1.0,1.0,wild-nat-d
11.0,11.0,23.0,1.0,2.0,animal0/animal00_dom_OIP-63Tko1ej3YCzWBDIT-uIigHaFj.jpeg-object0/object00_nat_kiwi_06s.jpg-word1/word10_d_dig4_2.wav,58.0,98.55175709724426,1.0,0.0,0.897913932800293,1.0,99.45345902442932,98.5555009841919,4.0,96.0,1.0,1.0,0.0,dom-nat-d
11.0,11.0,24.0,1.0,7.0,animal1/animal11_wild_9bears.jpg-object1/object11_man_duffel_bag_11s.jpg-word0/word01_l_lake4_2.wav,15.0,102.6400420665741,0.0,1.0,0.8539748191833496,1.0,103.50930118560791,102.6552300453186,4.0,100.0,0.0,1.0,1.0,wild-man-l
11.0,11.0,25.0,1.0,5.0,animal1/animal10_dom_00000417_018.jpg-object0/object01_man_tostada_12s.jpg-word0/word00_d_door9.wav,53.0,106.73229098320007,0.0,0.0,0.9224522113800049,1.0,107.66046810150146,106.7379240989685,4.0,104.0,1.0,0.0,0.0,dom-man-d
11.0,11.0,26.0,1.0,9.0,stat/stat_1.png-stat/stat_1.png-300,-1.0,110.78781414031982,-1.0,0.0,0.4901130199432373,1.0,111.29452705383301,110.80438017845154,4.0,108.0,0.0,1.0,0.0,st-st-st
11.0,11.0,27.0,1.0,9.0,stat/stat_1.png-stat/stat_1.png-300,-1.0,114.84752798080444,-1.0,1.0,0.4633779525756836,1.0,115.31707406044006,114.85365104675293,4.0,112.0,1.0,0.0,1.0,st-st-st
11.0,11.0,28.0,1.0,5.0,animal1/animal10_dom_00000428_019.jpg-object0/object00_nat_papaya_10n.jpg-word0/word00_d_door18.wav,0.0,118.90227317810059,0.0,1.0,1.038072109222412,1.0,119.95834112167358,118.92020010948181,4.0,116.0,1.0,1.0,1.0,dom-nat-d
11.0,11.0,29.0,1.0,5.0,animal1/animal10_dom_00000001_024.jpg-object0/object00_nat_pepper2_18s.jpg-word0/word01_l_lake5.wav,37.0,122.9800660610199,0.0,1.0,0.8703339099884033,1.0,123.8566792011261,122.98630118370056,4.0,120.0,0.0,1.0,1.0,dom-nat-l
11.0,11.0,30.0,1.0,8.0,animal1/animal10_dom_00000392_021.jpg-object1/object11_man_diskette_12s.jpg-word1/word11_l_lose14.wav,40.0,127.03908705711365,0.0,0.0,0.971343994140625,1.0,128.02369618415833,127.05229020118713,4.0,124.0,1.0,0.0,0.0,dom-man-l
11.0,11.0,31.0,1.0,6.0,animal1/animal11_wild_OIP-OnwflbybLd5ge-GGkEDpuAHaFS.jpeg-object0/object00_nat_nut_07s.jpg-word1/word11_l_lose15_2.wav,62.0,131.1139760017395,1.0,1.0,1.416991949081421,0.0,132.53561520576477,131.118577003479,4.0,128.0,0.0,1.0,0.0,wild-nat-l
11.0,11.0,32.0,1.0,6.0,animal1/animal11_wild_OIP-B0m3jGR-4NW2k7RzbJxJaQAAAA.jpeg-object0/object00_nat_vegetable_01b.jpg-word1/word10_d_dig6_2.wav,46.0,135.16588497161865,1.0,1.0,1.1624259948730469,1.0,136.34734916687012,135.18486213684082,4.0,132.0,1.0,0.0,1.0,wild-nat-d
11.0,11.0,33.0,1.0,6.0,animal1/animal11_wild_OIP-sZ9qhGzMkAWJ9RnfO9238wHaHE.jpeg-object0/object00_nat_cinnamon_10s.jpg-word1/word11_l_lose2_2.wav,46.0,139.22753620147705,1.0,1.0,0.8851289749145508,1.0,140.11948609352112,139.2342700958252,6.0,136.0,0.0,0.0,1.0,wild-nat-l
11.0,11.0,34.0,1.0,4.0,animal0/animal00_dom_OIP-fYE0Ubrspa6j3LBhfGjhSQHaFj.jpeg-object1/object11_man_eraser_02s.jpg-word1/word10_d_dig13.wav,44.0,145.2832510471344,0.0,0.0,1.0677058696746826,1.0,146.36811709403992,145.30037999153137,4.0,142.0,0.0,0.0,0.0,dom-man-d
11.0,11.0,35.0,1.0,3.0,animal0/animal00_dom_OIP-9bhKxxeyz8Y_0b1HLyazbwHaFj.jpeg-object1/object10_nat_flower_0722.jpg-word0/word01_l_lake4.wav,27.0,149.33660912513733,1.0,0.0,0.8606090545654297,1.0,150.21062898635864,149.34992599487305,4.0,146.0,0.0,1.0,0.0,dom-nat-l
11.0,11.0,36.0,1.0,2.0,animal0/animal00_dom_OIP-dtgv504-r0mgoYCy5mUDDgHaFj.jpeg-object0/object00_nat_scallion_07s.jpg-word1/word10_d_dig6.wav,18.0,153.40640020370483,1.0,1.0,1.473412036895752,1.0,154.88953804969788,153.41603803634644,4.0,150.0,0.0,0.0,1.0,dom-nat-d
11.0,11.0,37.0,1.0,2.0,animal0/animal01_wild_29.jpg-object0/object01_man_scone_07s.jpg-word1/word10_d_dig2.wav,10.0,158.98232913017273,1.0,1.0,1.1166930198669434,1.0,160.14901614189148,159.03232717514038,4.0,154.0,0.0,0.0,1.0,wild-man-d
11.0,11.0,38.0,1.0,4.0,animal0/animal00_dom_OIP-yzKaioS4GLRrslPRt5vTkAHaFj.jpeg-object1/object11_man_key_09s.jpg-word1/word11_l_lose10.wav,12.0,164.05685114860535,0.0,0.0,1.0167460441589355,1.0,165.11496710777283,164.0980830192566,4.0,158.0,1.0,0.0,0.0,dom-man-l
11.0,11.0,39.0,1.0,4.0,animal0/animal01_wild_Western_Wood_Pewee_0020_202369246.jpg-object1/object10_nat_flower_0087.jpg-word1/word11_l_lose9_2.wav,28.0,168.16906213760376,0.0,0.0,0.9215888977050781,1.0,169.10252404212952,168.18088603019714,4.0,162.0,0.0,0.0,0.0,wild-nat-l
11.0,11.0,40.0,1.0,4.0,animal0/animal00_dom_OIP-UXmpV3Wa06kOQouoOdAb8gHaFj.jpeg-object1/object10_nat_flower_0044.jpg-word1/word10_d_dig10.wav,28.0,172.22252106666565,0.0,1.0,1.1049399375915527,1.0,173.33562803268433,172.23063898086548,6.0,166.0,1.0,1.0,1.0,dom-nat-d
11.0,11.0,41.0,1.0,6.0,animal1/animal10_dom_00000386_001.jpg-object0/object01_man_wafer_07s.jpg-word1/word10_d_dig16_2.wav,30.0,178.28577303886414,1.0,0.0,1.2749080657958984,1.0,179.5715401172638,178.2965760231018,4.0,172.0,0.0,1.0,0.0,dom-man-d
11.0,11.0,42.0,1.0,1.0,animal0/animal00_dom_OIP-nCvGaJ7AImbmYsDfVLED5gHaFj.jpeg-object0/object00_nat_melon_06s.jpg-word0/word01_l_lake6_2.wav,41.0,182.42116117477417,1.0,1.0,1.0847139358520508,1.0,183.5141429901123,182.42937898635864,4.0,176.0,0.0,0.0,1.0,dom-nat-l
11.0,11.0,43.0,1.0,7.0,animal1/animal10_dom_00000067_005.jpg-object1/object11_man_baseball_02s.jpg-word0/word01_l_lake11.wav,7.0,186.5639979839325,0.0,0.0,0.9468820095062256,1.0,187.52578616142273,186.57886219024658,4.0,180.0,0.0,0.0,0.0,dom-man-l
11.0,11.0,44.0,1.0,9.0,stat/stat_1.png-stat/stat_1.png-300,-1.0,190.62170910835266,-1.0,1.0,0.4773871898651123,1.0,191.1061770915985,190.62875819206238,4.0,184.0,1.0,0.0,1.0,st-st-st
11.0,11.0,45.0,1.0,9.0,stat/stat_1.png-stat/stat_1.png-300,-1.0,194.67353415489197,-1.0,1.0,0.47631096839904785,1.0,195.1545422077179,194.67819619178772,4.0,188.0,0.0,0.0,1.0,st-st-st
11.0,11.0,46.0,1.0,9.0,stat/stat_1.png-stat/stat_1.png-300,-1.0,198.7283251285553,-1.0,0.0,0.47953200340270996,1.0,199.2237150669098,198.74411416053772,4.0,192.0,0.0,1.0,0.0,st-st-st
11.0,11.0,47.0,1.0,1.0,animal0/animal00_dom_OIP---FR8XUr0FJL7W1763Uf_QHaFj.jpeg-object0/object01_man_chips_09s.jpg-word0/word01_l_lake10_2.wav,0.0,202.83935713768005,1.0,0.0,0.9043688774108887,1.0,203.74838709831238,202.84399104118347,4.0,196.0,0.0,1.0,0.0,dom-man-l
11.0,11.0,48.0,1.0,9.0,stat/stat_1.png-stat/stat_1.png-300,-1.0,206.88763618469238,-1.0,1.0,0.4899139404296875,1.0,207.3832230567932,206.89326310157776,4.0,200.0,0.0,0.0,1.0,st-st-st
11.0,11.0,49.0,1.0,1.0,animal0/animal00_dom_OIP-hayBnBngpQnL_LWG7fyNLAHaFj.jpeg-object0/object00_nat_orange_08s.jpg-word0/word00_d_door17.wav,0.0,210.93309116363525,1.0,1.0,1.1950538158416748,1.0,212.13781809806824,210.94270420074463,4.0,204.0,1.0,0.0,1.0,dom-nat-d
11.0,11.0,50.0,1.0,4.0,animal0/animal01_wild_Western_Wood_Pewee_0012_18266131.jpg-object1/object11_man_diskette_04s.jpg-word1/word10_d_dig1.wav,4.0,215.00400400161743,0.0,0.0,0.8848187923431396,1.0,215.89380311965942,215.0089361667633,4.0,208.0,0.0,0.0,0.0,wild-man-d
11.0,11.0,51.0,1.0,7.0,animal1/animal11_wild_OIP-EZ5pWJ_6melnJlw-lLHv-gHaFP.jpeg-object1/object10_nat_flower_0483.jpg-word0/word01_l_lake14.wav,31.0,219.06263399124146,0.0,1.0,1.2878029346466064,1.0,220.362802028656,219.07491517066956,4.0,212.0,1.0,1.0,1.0,wild-nat-l
11.0,11.0,52.0,1.0,5.0,animal1/animal11_wild_OIP-5RfWrGV59pxQAI7SFSRH1wHaFj.jpeg-object0/object00_nat_cherry_03s.jpg-word0/word00_d_door11_2.wav,53.0,223.12587714195251,0.0,1.0,0.7954020500183105,1.0,223.9368040561676,223.14136219024658,6.0,216.0,0.0,1.0,1.0,wild-nat-d
11.0,11.0,53.0,1.0,3.0,animal0/animal01_wild_iu-2.jpeg-object1/object10_nat_flower_0454.jpg-word0/word00_d_door13_2.wav,35.0,229.20900702476501,1.0,0.0,0.9313549995422363,1.0,230.15516114234924,229.223699092865,6.0,222.0,1.0,1.0,0.0,wild-nat-d
11.0,11.0,54.0,1.0,1.0,animal0/animal01_wild_Green_Kingfisher_0005_2190640279.jpg-object0/object00_nat_okra_11n.jpg-word0/word01_l_lake2.wav,17.0,235.45606303215027,1.0,0.0,1.3271899223327637,1.0,236.80039405822754,235.4731321334839,6.0,228.0,0.0,1.0,0.0,wild-nat-l
11.0,11.0,55.0,1.0,2.0,animal0/animal01_wild_Red_bellied_Woodpecker_0004_2142894078.jpg-object0/object00_nat_parsley_04s.jpg-word1/word10_d_dig11.wav,2.0,241.74259901046753,1.0,1.0,1.4948768615722656,1.0,243.25063109397888,241.75570607185364,6.0,234.0,0.0,0.0,1.0,wild-nat-d
11.0,11.0,56.0,1.0,1.0,animal0/animal01_wild_Louisiana_Waterthrush_0028_493016457.jpg-object0/object00_nat_pistachio_06n.jpg-word0/word00_d_door11.wav,9.0,247.85064697265625,1.0,0.0,0.9933319091796875,1.0,248.86514711380005,247.87170505523682,4.0,240.0,0.0,1.0,0.0,wild-nat-d
11.0,11.0,57.0,1.0,9.0,stat/stat_1.png-stat/stat_1.png-300,-1.0,251.91654920578003,-1.0,0.0,0.532325029373169,1.0,252.45355010032654,251.92118120193481,4.0,244.0,0.0,0.0,0.0,st-st-st
11.0,11.0,58.0,1.0,7.0,animal1/animal10_dom_00000092_028.jpg-object1/object11_man_bead_07s.jpg-word0/word00_d_door4.wav,0.0,256.032240152359,0.0,1.0,0.7403299808502197,1.0,256.794322013855,256.0539450645447,4.0,248.0,0.0,1.0,1.0,dom-man-d
11.0,11.0,59.0,1.0,9.0,stat/stat_1.png-stat/stat_1.png-300,-1.0,260.0995171070099,-1.0,1.0,0.5030720233917236,1.0,260.62336015701294,260.1202311515808,4.0,252.0,1.0,0.0,1.0,st-st-st
11.0,11.0,60.0,1.0,8.0,animal1/animal11_wild_99bears.jpg-object1/object11_man_tennis_ball_16s.jpg-word1/word11_l_lose1.wav,0.0,264.20926809310913,0.0,0.0,1.0843660831451416,1.0,265.30408120155334,264.2196559906006,6.0,256.0,1.0,0.0,0.0,wild-man-l
11.0,11.0,61.0,1.0,6.0,animal1/animal11_wild_190_elephant.jpg-object0/object01_man_salami_02s.jpg-word1/word11_l_lose3.wav,62.0,270.32640409469604,1.0,1.0,0.8309180736541748,1.0,271.16676020622253,270.3358111381531,4.0,262.0,1.0,0.0,1.0,wild-man-l
11.0,11.0,62.0,1.0,3.0,animal0/animal01_wild_Scarlet_Tanager_0011_288725500.jpg-object1/object10_nat_flower_0939.jpg-word0/word00_d_door18_2.wav,43.0,274.39560103416443,1.0,1.0,1.1534440517425537,1.0,275.5552279949188,274.4017381668091,4.0,266.0,0.0,0.0,1.0,wild-nat-d
11.0,11.0,63.0,1.0,9.0,stat/stat_1.png-stat/stat_1.png-300,-1.0,278.45062804222107,-1.0,0.0,0.5105860233306885,1.0,278.97868299484253,278.4680550098419,4.0,270.0,0.0,0.0,0.0,st-st-st
11.0,11.0,64.0,1.0,9.0,stat/stat_1.png-stat/stat_1.png-300,-1.0,282.51382517814636,-1.0,1.0,0.47014784812927246,1.0,283.0043361186981,282.5341429710388,4.0,274.0,0.0,0.0,1.0,st-st-st
11.0,11.0,65.0,1.0,2.0,animal0/animal00_dom_991.jpeg-object0/object00_nat_gourd_02s.jpg-word1/word11_l_lose12_2.wav,0.0,286.61798620224,1.0,1.0,1.451383113861084,1.0,288.08532309532166,286.6338760852814,4.0,278.0,0.0,0.0,1.0,dom-nat-l
11.0,11.0,66.0,1.0,2.0,animal0/animal00_dom_OIP-xm-3BaIvrrpA7-YO5qyEnwHaFj.jpeg-object0/object01_man_oatmeal_11s.jpg-word1/word11_l_lose15.wav,10.0,290.708722114563,1.0,0.0,1.0962729454040527,1.0,291.8128921985626,290.7165710926056,6.0,282.0,1.0,1.0,0.0,dom-man-l
11.0,11.0,67.0,1.0,2.0,animal0/animal01_wild_Black_footed_Albatross_0005_2755588934.jpg-object0/object00_nat_cilantro_06s.jpg-word1/word11_l_lose13_2.wav,10.0,296.7864921092987,1.0,1.0,1.1632609367370605,1.0,297.9624969959259,296.79918098449707,4.0,288.0,1.0,0.0,1.0,wild-nat-l
11.0,11.0,68.0,1.0,9.0,stat/stat_1.png-stat/stat_1.png-300,-1.0,300.84186816215515,-1.0,0.0,0.4855480194091797,1.0,301.3342921733856,300.848699092865,4.0,292.0,1.0,0.0,0.0,st-st-st
11.0,11.0,69.0,1.0,4.0,animal0/animal00_dom_OIP-Kmdgf2jvJKqQxmSmQSCvlAHaFj.jpeg-object1/object11_man_gong_09s.jpg-word1/word10_d_dig12_2.wav,0.0,304.9256479740143,0.0,0.0,0.8975939750671387,1.0,305.82914900779724,304.93148708343506,4.0,296.0,0.0,0.0,0.0,dom-man-d
11.0,11.0,70.0,1.0,7.0,animal1/animal11_wild_OIP-ddMsmcHVNpt8sxZar6kYjQHaFi.jpeg-object1/object10_nat_ivy_05s.jpg-word0/word00_d_door3_2.wav,31.0,309.163889169693,0.0,0.0,1.2739050388336182,1.0,310.455039024353,309.181077003479,4.0,300.0,0.0,0.0,0.0,wild-nat-d
11.0,11.0,71.0,1.0,9.0,stat/stat_1.png-stat/stat_1.png-300,-1.0,313.2238721847534,-1.0,1.0,0.4151489734649658,1.0,313.6460041999817,313.23077917099,4.0,304.0,0.0,0.0,1.0,st-st-st
11.0,11.0,72.0,1.0,8.0,animal1/animal10_dom_00000438_019.jpg-object1/object10_nat_flower_0093.jpg-word1/word11_l_lose11.wav,0.0,317.287672996521,0.0,1.0,1.3370709419250488,1.0,318.6340391635895,317.2969160079956,4.0,308.0,0.0,1.0,1.0,dom-nat-l
11.0,11.0,73.0,1.0,6.0,animal1/animal11_wild_10.jpg-object0/object01_man_mashed_potato_12s.jpg-word1/word11_l_lose8_2.wav,62.0,321.8977701663971,1.0,0.0,1.1115620136260986,1.0,323.04132604599,321.92971420288086,4.0,312.0,1.0,1.0,0.0,wild-man-l
11.0,11.0,74.0,1.0,6.0,animal1/animal10_dom_00000386_015.jpg-object0/object01_man_fondue_08n.jpg-word1/word11_l_lose1_2.wav,46.0,325.98858308792114,1.0,1.0,0.9963769912719727,1.0,326.9920799732208,325.99566316604614,4.0,316.0,0.0,0.0,1.0,dom-man-l
11.0,11.0,75.0,1.0,2.0,animal0/animal01_wild_iu-16.jpeg-object0/object01_man_beer_01s.jpg-word1/word11_l_lose7_2.wav,42.0,330.10745310783386,1.0,0.0,0.9785969257354736,1.0,331.10737705230713,330.12872314453125,4.0,320.0,1.0,1.0,0.0,wild-man-l
11.0,11.0,76.0,1.0,9.0,stat/stat_1.png-stat/stat_1.png-300,-1.0,334.1712341308594,-1.0,1.0,0.42897891998291016,1.0,334.60716915130615,334.1781430244446,4.0,324.0,1.0,1.0,1.0,st-st-st
11.0,11.0,77.0,1.0,5.0,animal1/animal11_wild_29bears.jpg-object0/object00_nat_onion_09s.jpg-word0/word00_d_door7.wav,0.0,339.0223231315613,0.0,0.0,0.8284440040588379,1.0,339.88937497138977,339.06086707115173,4.0,328.0,1.0,0.0,0.0,wild-nat-d
11.0,11.0,78.0,1.0,9.0,stat/stat_1.png-stat/stat_1.png-300,-1.0,343.1102809906006,-1.0,0.0,0.4266829490661621,1.0,343.5537431240082,343.1269950866699,4.0,332.0,1.0,1.0,0.0,st-st-st
11.0,11.0,79.0,1.0,9.0,stat/stat_1.png-stat/stat_1.png-300,-1.0,347.17366099357605,-1.0,0.0,0.4145529270172119,1.0,347.6078350543976,347.193204164505,4.0,336.0,0.0,1.0,0.0,st-st-st
11.0,11.0,80.0,1.0,7.0,animal1/animal10_dom_00000092_029.jpg-object1/object10_nat_flower_1158.jpg-word0/word00_d_door9_2.wav,0.0,351.2415761947632,0.0,1.0,0.6816849708557129,1.0,351.94143319129944,351.2597110271454,4.0,340.0,1.0,1.0,1.0,dom-nat-d
11.0,11.0,81.0,1.0,3.0,animal0/animal00_dom_OIP-PnH9QqqiMrA-SFBR3lNHRQHaFi.jpeg-object1/object10_nat_log_07s.jpg-word0/word00_d_door16.wav,51.0,355.3114240169525,1.0,1.0,0.8805379867553711,1.0,356.2062439918518,355.3256540298462,4.0,344.0,0.0,0.0,1.0,dom-nat-d
